matkul,judul,deskripsi,link,kategori
"Etika Jawa","Tema Tema Etika Umum","","https://drive.google.com/file/d/13i12IuRKWbbZsGfxGIKaMaj1FeeYnPWF/view?usp=sharing","PDF"
"Membaca & Menulis Huruf Jawa","Pedoman Penulisan Aksara jawa &  Wawaton Sriwedari","","https://drive.google.com/drive/folders/19wTZZJTSA3LBLktKRu-Sh97QuJ6XPCID","PDF"

"Literasi Perspektif Global","Literasi Baca Tulis","","https://drive.google.com/file/d/1XRISVK3dTdsqWs4mmbwyQuPLVgD5gqgc/view?usp=drivesdk","PDF"

"Profesi Keguruan","Buku Profesi Keguruan - Piton","","https://drive.google.com/drive/folders/1SgzdkZwQDhC2Q1Tkw2weQIIndx_urUMF","PDF"

"TIK","MS Word","","https://drive.google.com/file/d/1dlN8IRDeWgf7f0p1kABWSikhwk2HtzaE/view?usp=sharing","PPTX"

"Menulis Huruf Jawa","Dokumentasi dan Panduan Pemakaian Hancaraka Ms Word","","https://drive.google.com/file/d/1fp4TpYtDzKdY8d1RYJHab84q-s_vT7LN/view?usp=drive_link","PDF"

"TIK","MATERI TIK PERTEMUAN SEBELUM UTS","","https://drive.google.com/drive/folders/10kVD0yorLd0Ab5xRV57yoEK3-bYiwyrV?usp=drive_link","PDF"
